time_utc,open,high,low,close,volume,symbol,timeframe,digits,point
2026-07-08T20:49:18.000Z,1.14168,1.14168,1.14163,1.14163,13,EURUSD,M1,5,0.00001
2026-07-08T20:50:17.000Z,1.14164,1.14166,1.14163,1.14164,12,EURUSD,M1,5,0.00001
2026-07-08T20:51:17.000Z,1.14163,1.14164,1.14159,1.14161,13,EURUSD,M1,5,0.00001
2026-07-08T20:52:18.000Z,1.14160,1.14162,1.14148,1.14148,45,EURUSD,M1,5,0.00001
2026-07-08T20:59:18.000Z,1.14154,1.14180,1.14149,1.14180,4,EURUSD,M1,5,0.00001
2026-07-08T21:00:18.000Z,1.14181,1.14181,1.14154,1.14157,15,EURUSD,M1,5,0.00001
2026-07-08T21:01:17.000Z,1.14160,1.14160,1.14160,1.14160,1,EURUSD,M1,5,0.00001
2026-07-08T21:02:18.000Z,1.14161,1.14175,1.14160,1.14164,9,EURUSD,M1,5,0.00001
2026-07-08T21:03:18.000Z,1.14165,1.14170,1.14164,1.14164,4,EURUSD,M1,5,0.00001
2026-07-08T21:04:17.000Z,1.14166,1.14175,1.14160,1.14160,6,EURUSD,M1,5,0.00001
2026-07-08T21:05:17.000Z,1.14161,1.14181,1.14159,1.14159,6,EURUSD,M1,5,0.00001
2026-07-08T21:06:17.000Z,1.14158,1.14158,1.14157,1.14158,3,EURUSD,M1,5,0.00001
2026-07-08T21:07:18.000Z,1.14159,1.14159,1.14158,1.14159,3,EURUSD,M1,5,0.00001
2026-07-08T21:08:17.000Z,1.14160,1.14176,1.14160,1.14176,8,EURUSD,M1,5,0.00001
2026-07-08T21:09:17.000Z,1.14175,1.14175,1.14175,1.14175,1,EURUSD,M1,5,0.00001
2026-07-08T21:10:17.000Z,1.14173,1.14175,1.14148,1.14173,26,EURUSD,M1,5,0.00001
2026-07-08T21:11:18.000Z,1.14174,1.14174,1.14157,1.14157,4,EURUSD,M1,5,0.00001
2026-07-08T21:12:17.000Z,1.14163,1.14167,1.14141,1.14167,13,EURUSD,M1,5,0.00001
2026-07-08T21:13:17.000Z,1.14164,1.14179,1.14162,1.14167,17,EURUSD,M1,5,0.00001
2026-07-08T21:14:17.000Z,1.14168,1.14178,1.14168,1.14175,10,EURUSD,M1,5,0.00001
2026-07-08T21:15:17.000Z,1.14172,1.14178,1.14156,1.14178,14,EURUSD,M1,5,0.00001
2026-07-08T21:16:17.000Z,1.14179,1.14180,1.14177,1.14177,5,EURUSD,M1,5,0.00001
2026-07-08T21:17:17.000Z,1.14176,1.14178,1.14176,1.14178,2,EURUSD,M1,5,0.00001
