time_utc,bid,ask,spread,spread_points,symbol,digits,point
2026-07-08T20:50:20.000Z,1.14164,1.14171,0.00007,7,EURUSD,5,0.00001
2026-07-08T20:51:17.000Z,1.14163,1.14170,0.00007,7,EURUSD,5,0.00001
2026-07-08T20:52:01.000Z,1.14159,1.14166,0.00007,7,EURUSD,5,0.00001
2026-07-08T20:52:26.000Z,1.14160,1.14167,0.00007,7,EURUSD,5,0.00001
2026-07-08T20:59:18.000Z,1.14154,1.14184,0.00030,30,EURUSD,5,0.00001
2026-07-08T21:00:18.000Z,1.14181,1.14231,0.00050,50,EURUSD,5,0.00001
2026-07-08T21:01:52.000Z,1.14160,1.14220,0.00060,60,EURUSD,5,0.00001
2026-07-08T21:02:30.000Z,1.14161,1.14221,0.00060,60,EURUSD,5,0.00001
2026-07-08T21:04:05.000Z,1.14165,1.14225,0.00060,60,EURUSD,5,0.00001
2026-07-08T21:04:20.000Z,1.14166,1.14236,0.00070,70,EURUSD,5,0.00001
2026-07-08T21:05:48.000Z,1.14161,1.14231,0.00070,70,EURUSD,5,0.00001
2026-07-08T21:07:07.000Z,1.14158,1.14228,0.00070,70,EURUSD,5,0.00001
2026-07-08T21:07:58.000Z,1.14159,1.14229,0.00070,70,EURUSD,5,0.00001
2026-07-08T21:08:24.000Z,1.14160,1.14230,0.00070,70,EURUSD,5,0.00001
2026-07-08T21:09:44.000Z,1.14175,1.14235,0.00060,60,EURUSD,5,0.00001
2026-07-08T21:10:24.000Z,1.14173,1.14233,0.00060,60,EURUSD,5,0.00001
2026-07-08T21:11:25.000Z,1.14174,1.14234,0.00060,60,EURUSD,5,0.00001
2026-07-08T21:12:29.000Z,1.14163,1.14233,0.00070,70,EURUSD,5,0.00001
2026-07-08T21:13:38.000Z,1.14164,1.14234,0.00070,70,EURUSD,5,0.00001
2026-07-08T21:14:27.000Z,1.14168,1.14228,0.00060,60,EURUSD,5,0.00001
2026-07-08T21:15:37.000Z,1.14172,1.14222,0.00050,50,EURUSD,5,0.00001
2026-07-08T21:16:36.000Z,1.14179,1.14229,0.00050,50,EURUSD,5,0.00001
2026-07-08T21:17:32.000Z,1.14176,1.14226,0.00050,50,EURUSD,5,0.00001
2026-07-09T04:32:31.000Z,1.14255,1.14262,0.00007,7,EURUSD,5,0.00001
