2026-07-08T20:50:36.651Z | INFO | core.lifecycle | - | - | - | startup begin
2026-07-08T20:50:36.654Z | INFO | core.lifecycle | - | - | - | startup complete instances=1 cache_hashes_removed=0
2026-07-08T20:50:36.930Z | INFO | core.recovery | - | - | - | runtime recovery begin instances=1
2026-07-08T20:50:37.113Z | INFO | core.recovery | - | - | - | runtime recovery end instances=1
2026-07-08T20:50:37.268Z | INFO | core.orchestrator | - | - | - | runtime cycle begin instances=1
2026-07-08T20:50:37.539Z | INFO | core.monitoring | 231054 | EURUSD | 100001 | metrics account=231054 symbol=EURUSD magic=100001 health=ERROR cycle_latency_ms=79268 ack_latency_ms=- data_freshness_ms=79268 error_count=1 error_rate_per_min=1.00
2026-07-08T20:50:37.601Z | WARNING | core.alerts | 231054 | EURUSD | 100001 | alert code=DATA_STALE account=231054 symbol=EURUSD magic=100001 market data stale freshness_ms=79268 threshold_ms=15000
2026-07-08T20:50:37.601Z | ERROR | core.alerts | 231054 | EURUSD | 100001 | alert code=VALIDATION_FAILURE account=231054 symbol=EURUSD magic=100001 instance cycle validation failed
2026-07-08T20:50:37.650Z | INFO | core.orchestrator | - | - | - | runtime cycle end instances=1 completed=0 failed=1
2026-07-08T20:50:37.650Z | INFO | core.monitoring | - | - | - | runtime monitoring summary instances=1 completed=0 failed=1 error_count=1
2026-07-08T20:50:37.651Z | INFO | core.performance | 231054 | EURUSD | 100001 | performance account=231054 symbol=EURUSD magic=100001 cycle_duration_ms=270 load_duration_ms=216 analysis_duration_ms=0 decision_duration_ms=0 io_wait_ms=216 memory_rss_mb=28.59
2026-07-08T20:50:38.712Z | INFO | core.orchestrator | - | - | - | runtime cycle begin instances=1
2026-07-08T20:50:38.973Z | INFO | core.monitoring | 231054 | EURUSD | 100001 | metrics account=231054 symbol=EURUSD magic=100001 health=ERROR cycle_latency_ms=80712 ack_latency_ms=- data_freshness_ms=80712 error_count=1 error_rate_per_min=1.00
2026-07-08T20:50:39.034Z | WARNING | core.alerts | 231054 | EURUSD | 100001 | alert code=DATA_STALE account=231054 symbol=EURUSD magic=100001 market data stale freshness_ms=80712 threshold_ms=15000
2026-07-08T20:50:39.035Z | ERROR | core.alerts | 231054 | EURUSD | 100001 | alert code=VALIDATION_FAILURE account=231054 symbol=EURUSD magic=100001 instance cycle validation failed
2026-07-08T20:50:39.038Z | INFO | core.orchestrator | - | - | - | runtime cycle end instances=1 completed=0 failed=1
2026-07-08T20:50:39.039Z | INFO | core.monitoring | - | - | - | runtime monitoring summary instances=1 completed=0 failed=1 error_count=1
2026-07-08T20:50:39.039Z | INFO | core.performance | 231054 | EURUSD | 100001 | performance account=231054 symbol=EURUSD magic=100001 cycle_duration_ms=257 load_duration_ms=218 analysis_duration_ms=0 decision_duration_ms=0 io_wait_ms=218 memory_rss_mb=28.61
2026-07-08T20:50:40.100Z | INFO | core.orchestrator | - | - | - | runtime cycle begin instances=1
2026-07-08T20:50:40.259Z | INFO | core.monitoring | 231054 | EURUSD | 100001 | metrics account=231054 symbol=EURUSD magic=100001 health=ERROR cycle_latency_ms=82100 ack_latency_ms=- data_freshness_ms=82100 error_count=1 error_rate_per_min=1.00
2026-07-08T20:50:40.320Z | WARNING | core.alerts | 231054 | EURUSD | 100001 | alert code=DATA_STALE account=231054 symbol=EURUSD magic=100001 market data stale freshness_ms=82100 threshold_ms=15000
2026-07-08T20:50:40.321Z | ERROR | core.alerts | 231054 | EURUSD | 100001 | alert code=VALIDATION_FAILURE account=231054 symbol=EURUSD magic=100001 instance cycle validation failed
2026-07-08T20:50:40.324Z | INFO | core.orchestrator | - | - | - | runtime cycle end instances=1 completed=0 failed=1
2026-07-08T20:50:40.324Z | INFO | core.monitoring | - | - | - | runtime monitoring summary instances=1 completed=0 failed=1 error_count=1
2026-07-08T20:50:40.324Z | INFO | core.performance | 231054 | EURUSD | 100001 | performance account=231054 symbol=EURUSD magic=100001 cycle_duration_ms=156 load_duration_ms=117 analysis_duration_ms=0 decision_duration_ms=0 io_wait_ms=117 memory_rss_mb=28.62
2026-07-08T20:50:41.387Z | INFO | core.orchestrator | - | - | - | runtime cycle begin instances=1
2026-07-08T20:50:41.574Z | INFO | core.monitoring | 231054 | EURUSD | 100001 | metrics account=231054 symbol=EURUSD magic=100001 health=ERROR cycle_latency_ms=83387 ack_latency_ms=- data_freshness_ms=83387 error_count=1 error_rate_per_min=1.00
2026-07-08T20:50:41.635Z | WARNING | core.alerts | 231054 | EURUSD | 100001 | alert code=DATA_STALE account=231054 symbol=EURUSD magic=100001 market data stale freshness_ms=83387 threshold_ms=15000
2026-07-08T20:50:41.636Z | ERROR | core.alerts | 231054 | EURUSD | 100001 | alert code=VALIDATION_FAILURE account=231054 symbol=EURUSD magic=100001 instance cycle validation failed
2026-07-08T20:50:41.638Z | INFO | core.orchestrator | - | - | - | runtime cycle end instances=1 completed=0 failed=1
2026-07-08T20:50:41.638Z | INFO | core.monitoring | - | - | - | runtime monitoring summary instances=1 completed=0 failed=1 error_count=1
2026-07-08T20:50:41.639Z | INFO | core.performance | 231054 | EURUSD | 100001 | performance account=231054 symbol=EURUSD magic=100001 cycle_duration_ms=183 load_duration_ms=154 analysis_duration_ms=0 decision_duration_ms=0 io_wait_ms=154 memory_rss_mb=28.63
2026-07-08T20:50:42.705Z | INFO | core.orchestrator | - | - | - | runtime cycle begin instances=1
2026-07-08T20:50:42.954Z | INFO | core.monitoring | 231054 | EURUSD | 100001 | metrics account=231054 symbol=EURUSD magic=100001 health=ERROR cycle_latency_ms=84705 ack_latency_ms=- data_freshness_ms=84705 error_count=1 error_rate_per_min=1.00
2026-07-08T20:50:43.014Z | WARNING | core.alerts | 231054 | EURUSD | 100001 | alert code=DATA_STALE account=231054 symbol=EURUSD magic=100001 market data stale freshness_ms=84705 threshold_ms=15000
2026-07-08T20:50:43.014Z | ERROR | core.alerts | 231054 | EURUSD | 100001 | alert code=VALIDATION_FAILURE account=231054 symbol=EURUSD magic=100001 instance cycle validation failed
2026-07-08T20:50:43.015Z | INFO | core.orchestrator | - | - | - | runtime cycle end instances=1 completed=0 failed=1
2026-07-08T20:50:43.016Z | INFO | core.monitoring | - | - | - | runtime monitoring summary instances=1 completed=0 failed=1 error_count=1
2026-07-08T20:50:43.016Z | INFO | core.performance | 231054 | EURUSD | 100001 | performance account=231054 symbol=EURUSD magic=100001 cycle_duration_ms=244 load_duration_ms=215 analysis_duration_ms=0 decision_duration_ms=0 io_wait_ms=215 memory_rss_mb=28.63
2026-07-08T20:50:44.083Z | INFO | core.orchestrator | - | - | - | runtime cycle begin instances=1
2026-07-08T20:50:44.236Z | INFO | core.monitoring | 231054 | EURUSD | 100001 | metrics account=231054 symbol=EURUSD magic=100001 health=ERROR cycle_latency_ms=86083 ack_latency_ms=- data_freshness_ms=86083 error_count=1 error_rate_per_min=1.00
2026-07-08T20:50:44.322Z | WARNING | core.alerts | 231054 | EURUSD | 100001 | alert code=DATA_STALE account=231054 symbol=EURUSD magic=100001 market data stale freshness_ms=86083 threshold_ms=15000
2026-07-08T20:50:44.322Z | ERROR | core.alerts | 231054 | EURUSD | 100001 | alert code=VALIDATION_FAILURE account=231054 symbol=EURUSD magic=100001 instance cycle validation failed
2026-07-08T20:50:44.325Z | INFO | core.orchestrator | - | - | - | runtime cycle end instances=1 completed=0 failed=1
2026-07-08T20:50:44.325Z | INFO | core.monitoring | - | - | - | runtime monitoring summary instances=1 completed=0 failed=1 error_count=1
2026-07-08T20:50:44.326Z | INFO | core.performance | 231054 | EURUSD | 100001 | performance account=231054 symbol=EURUSD magic=100001 cycle_duration_ms=149 load_duration_ms=120 analysis_duration_ms=0 decision_duration_ms=0 io_wait_ms=120 memory_rss_mb=28.64
2026-07-08T20:50:45.389Z | INFO | core.orchestrator | - | - | - | runtime cycle begin instances=1
2026-07-08T20:50:45.640Z | INFO | core.monitoring | 231054 | EURUSD | 100001 | metrics account=231054 symbol=EURUSD magic=100001 health=ERROR cycle_latency_ms=87389 ack_latency_ms=- data_freshness_ms=87389 error_count=1 error_rate_per_min=1.00
2026-07-08T20:50:45.701Z | WARNING | core.alerts | 231054 | EURUSD | 100001 | alert code=DATA_STALE account=231054 symbol=EURUSD magic=100001 market data stale freshness_ms=87389 threshold_ms=15000
2026-07-08T20:50:45.702Z | ERROR | core.alerts | 231054 | EURUSD | 100001 | alert code=VALIDATION_FAILURE account=231054 symbol=EURUSD magic=100001 instance cycle validation failed
2026-07-08T20:50:45.705Z | INFO | core.orchestrator | - | - | - | runtime cycle end instances=1 completed=0 failed=1
2026-07-08T20:50:45.705Z | INFO | core.monitoring | - | - | - | runtime monitoring summary instances=1 completed=0 failed=1 error_count=1
2026-07-08T20:50:45.706Z | INFO | core.performance | 231054 | EURUSD | 100001 | performance account=231054 symbol=EURUSD magic=100001 cycle_duration_ms=247 load_duration_ms=218 analysis_duration_ms=0 decision_duration_ms=0 io_wait_ms=218 memory_rss_mb=28.64
2026-07-08T20:50:46.769Z | INFO | core.orchestrator | - | - | - | runtime cycle begin instances=1
2026-07-08T20:50:46.933Z | INFO | core.monitoring | 231054 | EURUSD | 100001 | metrics account=231054 symbol=EURUSD magic=100001 health=ERROR cycle_latency_ms=88769 ack_latency_ms=- data_freshness_ms=88769 error_count=1 error_rate_per_min=1.00
2026-07-08T20:50:46.983Z | WARNING | core.alerts | 231054 | EURUSD | 100001 | alert code=DATA_STALE account=231054 symbol=EURUSD magic=100001 market data stale freshness_ms=88769 threshold_ms=15000
2026-07-08T20:50:46.983Z | ERROR | core.alerts | 231054 | EURUSD | 100001 | alert code=VALIDATION_FAILURE account=231054 symbol=EURUSD magic=100001 instance cycle validation failed
2026-07-08T20:50:46.986Z | INFO | core.orchestrator | - | - | - | runtime cycle end instances=1 completed=0 failed=1
2026-07-08T20:50:46.987Z | INFO | core.monitoring | - | - | - | runtime monitoring summary instances=1 completed=0 failed=1 error_count=1
2026-07-08T20:50:46.987Z | INFO | core.performance | 231054 | EURUSD | 100001 | performance account=231054 symbol=EURUSD magic=100001 cycle_duration_ms=160 load_duration_ms=131 analysis_duration_ms=0 decision_duration_ms=0 io_wait_ms=131 memory_rss_mb=28.65
2026-07-08T20:50:48.075Z | INFO | core.orchestrator | - | - | - | runtime cycle begin instances=1
2026-07-08T20:50:48.347Z | INFO | core.monitoring | 231054 | EURUSD | 100001 | metrics account=231054 symbol=EURUSD magic=100001 health=ERROR cycle_latency_ms=90075 ack_latency_ms=- data_freshness_ms=90075 error_count=1 error_rate_per_min=1.00
2026-07-08T20:50:48.408Z | WARNING | core.alerts | 231054 | EURUSD | 100001 | alert code=DATA_STALE account=231054 symbol=EURUSD magic=100001 market data stale freshness_ms=90075 threshold_ms=15000
2026-07-08T20:50:48.408Z | ERROR | core.alerts | 231054 | EURUSD | 100001 | alert code=VALIDATION_FAILURE account=231054 symbol=EURUSD magic=100001 instance cycle validation failed
2026-07-08T20:50:48.411Z | INFO | core.orchestrator | - | - | - | runtime cycle end instances=1 completed=0 failed=1
2026-07-08T20:50:48.412Z | INFO | core.monitoring | - | - | - | runtime monitoring summary instances=1 completed=0 failed=1 error_count=1
2026-07-08T20:50:48.412Z | INFO | core.performance | 231054 | EURUSD | 100001 | performance account=231054 symbol=EURUSD magic=100001 cycle_duration_ms=268 load_duration_ms=234 analysis_duration_ms=0 decision_duration_ms=0 io_wait_ms=234 memory_rss_mb=28.65
2026-07-08T20:50:49.577Z | INFO | core.orchestrator | - | - | - | runtime cycle begin instances=1
2026-07-08T20:50:49.826Z | INFO | core.monitoring | 231054 | EURUSD | 100001 | metrics account=231054 symbol=EURUSD magic=100001 health=ERROR cycle_latency_ms=91577 ack_latency_ms=- data_freshness_ms=91577 error_count=1 error_rate_per_min=1.00
2026-07-08T20:50:49.887Z | WARNING | core.alerts | 231054 | EURUSD | 100001 | alert code=DATA_STALE account=231054 symbol=EURUSD magic=100001 market data stale freshness_ms=91577 threshold_ms=15000
2026-07-08T20:50:49.888Z | ERROR | core.alerts | 231054 | EURUSD | 100001 | alert code=VALIDATION_FAILURE account=231054 symbol=EURUSD magic=100001 instance cycle validation failed
2026-07-08T20:50:49.891Z | INFO | core.orchestrator | - | - | - | runtime cycle end instances=1 completed=0 failed=1
2026-07-08T20:50:49.891Z | INFO | core.monitoring | - | - | - | runtime monitoring summary instances=1 completed=0 failed=1 error_count=1
